# Delta T (TT - UT1) historical values from IERS/USNO
# Format: YEAR  MONTH  MJD  DELTA_T(seconds)
# Source: USNO/IERS Bulletin A + Earth Orientation Center
# Data current through January 2026
1973  1  41682.0  43.4724
1973  2  41713.0  43.5648
1973  3  41741.0  43.6285
1973  4  41772.0  43.7662
1973  5  41802.0  43.8478
1973  6  41833.0  43.9975
1973  7  41863.0  44.0433
1973  8  41894.0  44.1586
1973  9  41925.0  44.2842
1973 10  41955.0  44.3347
1973 11  41986.0  44.4964
1973 12  42016.0  44.5632
1974  1  42047.0  44.6867
1974  2  42078.0  44.8056
1974  3  42106.0  44.9195
1974  4  42137.0  44.9536
1974  5  42167.0  45.0538
1974  6  42198.0  45.1093
1974  7  42228.0  45.1841
1974  8  42259.0  45.2591
1974  9  42290.0  45.3386
1974 10  42320.0  45.4103
1974 11  42351.0  45.4771
1974 12  42381.0  45.5369
1975  1  42412.0  45.6006
1975  2  42443.0  45.6641
1975  3  42471.0  45.7139
1975  4  42502.0  45.7719
1975  5  42532.0  45.8303
1975  6  42563.0  45.8875
1975  7  42593.0  45.9357
1975  8  42624.0  45.9676
1975  9  42655.0  46.0036
1975 10  42685.0  46.0391
1975 11  42716.0  46.0752
1975 12  42746.0  46.1102
1976  1  42777.0  46.1742
1976  2  42808.0  46.2265
1976  3  42837.0  46.2774
1976  4  42868.0  46.3283
1976  5  42898.0  46.3780
1976  6  42929.0  46.4427
1976  7  42959.0  46.4887
1976  8  42990.0  46.5444
1976  9  43021.0  46.5996
1976 10  43051.0  46.6578
1976 11  43082.0  46.7170
1976 12  43112.0  46.7715
1977  1  43143.0  46.8284
1977  2  43174.0  46.8937
1977  3  43202.0  46.9425
1977  4  43233.0  46.9989
1977  5  43263.0  47.0541
1977  6  43294.0  47.1102
1977  7  43324.0  47.1697
1977  8  43355.0  47.2276
1977  9  43386.0  47.2847
1977 10  43416.0  47.3404
1977 11  43447.0  47.3974
1977 12  43477.0  47.4529
1978  1  43508.0  47.5156
1978  2  43539.0  47.5794
1978  3  43567.0  47.6290
1978  4  43598.0  47.6929
1978  5  43628.0  47.7556
1978  6  43659.0  47.8089
1978  7  43689.0  47.8591
1978  8  43720.0  47.9160
1978  9  43751.0  47.9700
1978 10  43781.0  48.0239
1978 11  43812.0  48.0743
1978 12  43842.0  48.1300
1979  1  43873.0  48.1820
1979  2  43904.0  48.2375
1979  3  43932.0  48.2965
1979  4  43963.0  48.3500
1979  5  43993.0  48.4007
1979  6  44024.0  48.4553
1979  7  44054.0  48.5100
1979  8  44085.0  48.5634
1979  9  44116.0  48.6188
1979 10  44146.0  48.6770
1979 11  44177.0  48.7348
1979 12  44207.0  48.7861
1980  1  44238.0  48.8398
1980  2  44269.0  48.9053
1980  3  44298.0  48.9586
1980  4  44329.0  49.0133
1980  5  44359.0  49.0699
1980  6  44390.0  49.1210
1980  7  44420.0  49.1720
1980  8  44451.0  49.2270
1980  9  44482.0  49.2831
1980 10  44512.0  49.3446
1980 11  44543.0  49.4030
1980 12  44573.0  49.4558
1981  1  44604.0  49.5079
1981  2  44635.0  49.5765
1981  3  44663.0  49.6296
1981  4  44694.0  49.6805
1981  5  44724.0  49.7335
1981  6  44755.0  49.7922
1981  7  44785.0  49.8478
1981  8  44816.0  49.9015
1981  9  44847.0  49.9650
1981 10  44877.0  50.0198
1981 11  44908.0  50.0786
1981 12  44938.0  50.1333
1982  1  44969.0  50.1833
1982  2  45000.0  50.2467
1982  3  45028.0  50.2969
1982  4  45059.0  50.3450
1982  5  45089.0  50.4073
1982  6  45120.0  50.4694
1982  7  45150.0  50.5270
1982  8  45181.0  50.5809
1982  9  45212.0  50.6436
1982 10  45242.0  50.7033
1982 11  45273.0  50.7653
1982 12  45303.0  50.8215
1983  1  45334.0  50.8868
1983  2  45365.0  50.9475
1983  3  45393.0  51.0133
1983  4  45424.0  51.0780
1983  5  45454.0  51.1348
1983  6  45485.0  51.1948
1983  7  45515.0  51.2538
1983  8  45546.0  51.3117
1983  9  45577.0  51.3707
